text,labels
UNFIT! Look What Hillary Needed To Get Up The Stairs At Her Rally Today!,fake
"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",real
Magistrate won't order federal arraignment for bombing suspect,real
"Terrorist Attacks Will Likely Affect 2016 Presidential Race, Experts Say",real
Obama Pushes One World Government,fake
People Noticed Something Odd About Hillary’s Outfit at the Debate Last Night,fake
A Hillary Clinton Administration May be Entirely Run by a FIGUREHEAD – Eagle Rising,fake
SURPRISE! 70% Of Charlotte RIOTERS Are Not From There – Guess What That Means…,fake
Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here,fake
DESPICABLE! Hillary Wants To Put Hero Cop Who Stopped Mall Terror Attack Out Of BUSINESS,fake
Paul Ryan ducks on stop-and-frisk,real
Chelsea Handler Gets The Last Word After RNC Chair Attacks Hillary For Not Smiling,real
Putin's Troll Army Caught Rigging Twitter To Pretend Trump Won,fake
BREAKING: Did Hillary Clinton Have a Nervous Breakdown?,fake
Megan Rapinoe Punished Over Not Standing For Anthem?,real
OUTRAGE! Obama Spends $770M Dollars In Tax Payer Money To Renovate Mosques Over Seas…,fake
How Trump Is Hiding From The Media Like A Total Coward,real
Trump-Clinton debates will stream on Twitter,real
Emmy Host Kimmel Calls Out Dude Who Made Trump A Reality TV Star For Helping Destroy America,real
Why is it “RACIST” to Question Someone’s Birth Certificate? – Eagle Rising,fake
Note In Arabic Found With NYC Bomb… Call Says There Will Be More Bombings,fake
CNN FURIOUS and Embarrassed After Trump Called Them Out For One Major Thing,fake
"Georgia poll: Donald Trump, Hillary Clinton in tight race",real
Declassified Docs Show That Obama Admin Created ISIS In 2012 To Use As A 'Tool' ⋆ US Herald,fake
Angela Merkel Admits Bringing In Muslim Refugees Was A Big Fat Mistake,fake
U.S. attorney sees no rush to arraign Rahami in federal court,real
Donald Trump's rise puts Ted Cruz in a bind,real
BREAKING: Steps to FORCE FBI Director Comey to Resign In Process – Hearing Decides His Fate Sept 28,fake
Obama’s team isn’t laughing at Trump anymore,real
Trump’s puzzling pitch to black voters,real
HuffPo Just Dropped The Mic On Internet Polls Saying Trump Crushed Hillary In Last Night’s Debate,real
Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,real
Donna Brazile slams Trump for not apologizing for birther claims,real
Donald Trump retreats to friendly media ground,real
How to watch the first presidential debate,real
Trump labels Clinton 'weak and ineffective' in wake of bombings,real
Charity: Clinton Foundation Distributed “Watered-Down” AIDS Drugs to Sub-Saharan Africa,fake
McAuliffe hangs with Willie Nelson -- and his weed,real
"President Obama Vetoes 9/11 Victims Bill, Setting Up Showdown With Congress",real
The Pope Flat Out Called Fox News Type Journalism ‘Terrorism’,fake
Is Hillary in a No-Win Situation?,real
Inside the cover up of Hillary’s email server,real
Clinton: ‘The next 50 days will determine the next 50 years’,real
Obama’s Speech In New York Shocks Americans When He Says THIS About Attacks!,fake
BOOM! Charlotte Officials FINALLY Silence Rioters With One E P I C Announcement!,fake
Insiders: The heat is on Hillary,real
Female Muslim-American Olympian Bashes U.S.A. —Goes Off The Hinges About Why America Sucks!,fake
"The AP, In 2004, Said Your Boy Obama Was BORN In This Particular Country",fake
Secret Video Records MASSIVE Hillary Event Flop!,fake
New York bomb Suspect SUED Police!,fake
Donald Trump Goes Off The Deep End–May Be Unfit For Debate,fake
Rouhani: Iran deal able to weather the election,real
"CHAOS! NC Protest MOB Ambushes Female Truck Driver, Loots Truck, Sets Cargo On Fire – No One Helps!?",real
More Milestone Moments for Donald Trump!,real
One Critically Wounded As Charlotte Police Endure Second Night Of RIOTS…,real
"Two White Men Doused With Gasoline, Set On FIRE By Blacks",fake
People Noticed Something Odd About Hillary's Outfit,fake
Top Army Chief of Staff General Has Had It With Obama Incompetence,fake
Inmate Dead From Alleged Mistreatment In Jail Run By Infamous Pro-Trump Sheriff,real
Obama: “I bet when I die you’ll be happy to pee on my grave.”,fake
Pence gives no specifics on why Trump Foundation story is inaccurate,real
2016 presidential race tightens in Florida,real
Charlotte Police REVEAL What They Said To Black Man Just Moments Before Shooting…,real
National poll: Clinton leads Trump by 6,real
BREAKING: Pipe Bombs Found in New Jersey Train Station,real
Obama: Refugee crisis is test of our humanity,real
Congress MUST Act! Five Days Until Obama's Internet Giveaway,fake
"Critical counties: Wake County, NC, could put up a fight",real
KISS Bassist Gene Simmons on How to Stop Islamic Terrorism,real
Johnson: 'I’m going to sleep well at the end of all this',real
Debate Commission STUNS Journalists By Siding With Trump: Fact Checking Is Out Of Bounds,real
New Clinton Foundation SCANDAL Just Broke – This Is What Hillary ACTUALLY Thinks About Black People…,fake
Kaine visits site of Orlando mass shooting,real
I Was RFK’s Speechwriter. Now I’m Voting for Trump. Here’s Why.,real
Trump’s Latest Campaign Promise May Be His Most Horrible One Yet,fake
BOOM! Merkel Admits Flooding Germany With Muslim Refugees,fake
Young Girl's Emotional Council Speech Laments 'Shame' of Fatal Charlotte Shooting,real
Clinton Foundation Spent 5.7% on Charity; Rest Went to “Salaries” and “Other Expenses”,fake
Joe Arpaio: Trump didn’t call Obama’s birth certificate ‘legitimate’,real
US: ISIS did not use mustard agent in base attack,real
Obama Told Americans That Their Freedom Is Over And,fake
"Clinton: Tulsa shooting 'unbearable,' should be 'intolerable'",real
US builds working theory on cause of Syrian airstrike,real
“Public School Forced My Child To,real
The Mystery of Trump’s Man in Moscow: Carter Page,real
"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",fake
It’s “Trump is HITLER” Month at the Washington Post,real
Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,fake
10 Moments That Mattered From Hillary Clinton and Donald Trump's First Debate,real
"HERE IT IS! The Winner of the First Debate Was Just Announced, And the Winner Is…",fake
Liberals Are Furious When Reality Star Brody Jenner Tells the Truth About Police Shootings on Twitter,real
BREAKING: Judge DEMANDS Release Of Clinton’s Security Training Files – She Has 5 Days…,fake
Clemson BANS Memes Featuring Dead Gorilla Harambe…Promotes “Rape Culture” and “Racism”,fake
Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,real
Clinton vs. Trump: The debate before the debate,real
Changing Your Baby's Diaper Is Now A Sex Crime In Arizona,fake
Sacramento mayor punches pie thrower,real
How Democrats are Going to Try to STEAL the Election for Hillary – Eagle Rising,fake
Clinton's Exploited Haiti Earthquake ‘to Steal Billions of Dollars from the Sick and Starving’,fake
NC State Troopers Take A Knee Before Protecting Charlotte – But It Wasn’t To Protest The National Anthem…,real
Hillary Clinton on police shootings: 'too many people have lost their lives who shouldn't have',real
Bombing Suspect Filed Anti-Muslim Discrimination Lawsuit Against Police,fake
Hillary’s TOP Donor Country Just Auctioned Off ISIS Sex Slaves…,fake
Donald Trump Jr. Just Pinned A Tweet So Stupid It Will Make Your Eyes Bleed,real
Bill And Hillary Clinton Have A MAJOR AIDS Scandal!,fake
Obama in NYC: 'We all have a role to play' in terror fight after suspected bombings,real
"SICK! Muslim Refugee Beats, Urinates On Pregnant Woman After Seeing What She Has",fake
Cavuto Just Exposed Lester Holt's Lies During Debate,fake
White Guy Walled In Car By BlackLivesMatter Protesters – They See What He’s Brandishing And Scatter…,fake
The Black Sphere with Kevin Jackson,fake
Trump vs. Clinton: A Fundamental Clash over How the Economy Works,real
Conway: Trump will explain his Islamic State plan if asked,real
Barack Obama at Benjamin Netanyahu meeting: 'He is always very candid with us',real
“Why Aren’t I 50 Points Ahead?”,real
Tim Kaine on Libertarian ticket: 'Everybody knows they're not going to win',real
"Obama wears hat, breaking ‘Politics 101’ rule on headgear",real
Bridgegate: Port Authority officials planned to make Fort Lee 'traffic jam as bad as possible',real
Bobby Knight: Nobody can 'correct mistakes' like Trump,real
"Clinton Foundation Caught In Their Most Sickening Scheme Yet, Countless Dead",fake
"Obama To UN: ‘Giving Up Liberty, Enhances Security In America…’",real
"“If You Can’t Run Your Own House, You Certainly Can’t Run the White House”",fake
NYC Terrorist Ahmad Rahami Sued Police Department for ‘Religious Persecution’ in 2011!,fake
Armed Intruders Break in House…Armed Resident Responds,real
9 times Ted Cruz insulted Donald Trump before endorsing him,real
Networks Confirm They Will Not Be Fact-Checking Donald Trump In Any Way,fake
In Defense of ‘He Said/She Said’ Journalism,real
Trump Supreme Court Pick Sued By Feds For Racial Discrimination,fake
U.S. mistakenly granted citizenship to hundreds of immigrants,real
Reporters' FLEE When Clintons Get EXPOSED!,fake
Hillary Thought She Won The Debate. Didn’t Expect This To Happen To Prove Her Wrong.,fake
Fast Food CEO Threatens To Fire Everyone If A Democrat Wins The Presidency,fake
EXPOSED: Soros Funding Fake Veterans’ PAC To Take Trump Down,fake
Newsweek Accuses Trump Of Committing A Felony,fake
Trump hits Clinton on Islamic State: ‘It is time for change’,real
Another Terrorist Attack in NYC…Why Are we STILL Being Politically Correct,real
Hillary Clinton on Between Two Ferns: 'I really regret doing this',real
Australia Voted To Ban Muslims And Liberals Are Pissed,fake
